"Dataset","Model","Approach","Features","NLV","accuracy","kap","sens","spec","f_meas","precision","recall","bal_accuracy","roc_auc","pr_auc","mn_log_loss"
"CDR3","Model 1","Combined",9,"Yes",0.600408788962698,0.128988103063904,0.440373563218391,0.688739095955591,0.439426523297491,0.438483547925608,0.440373563218391,0.564556329586991,0.593374568167938,0.499346697491126,0.668945772721188
"CDR3","Model 1","Structure",7,"Yes",0.573326520183955,0.100332428212463,0.477729885057471,0.62609040444092,0.443333333333333,0.413557213930348,0.477729885057471,0.551910144749196,0.576573851258352,0.464550361472242,0.678955885617662
"CDR3","Model 1","Sequence",2,"Yes",0.597342871742463,0.110868440913811,0.407327586206897,0.702220459952419,0.418450184501845,0.430197268588771,0.407327586206897,0.554774023079658,0.587017151366823,0.494079366336153,0.670746361534152
"CDR3","Model 1","Combined",9,"No",0.615683926967974,0.171950292047731,0.4766201804758,0.695570216776626,0.475061324611611,0.473512632436838,0.4766201804758,0.586095198626213,0.619945815508301,0.544769742941171,0.658411329040368
"CDR3","Model 1","Structure",7,"No",0.59203831188267,0.135024642715294,0.482362592288761,0.655042412818096,0.463174478141,0.445454545454545,0.482362592288761,0.568702502553429,0.602429410550358,0.500008642325798,0.670435188131068
"CDR3","Model 1","Sequence",2,"No",0.603112840466926,0.140369491439914,0.447087776866284,0.692742695570217,0.451158940397351,0.455304928989139,0.447087776866284,0.56991523621825,0.606036684323533,0.539120277959242,0.662535250724368
"CDR3","Model 2","Combined",9,"Yes",0.630593893768298,0.0771886610719461,0.46551724137931,0.658712677435144,0.268378546282874,0.188536514402095,0.46551724137931,0.562114959407227,0.599859310738659,0.290442398999385,0.663507019916476
"CDR3","Model 2","Structure",7,"Yes",0.629548306148055,0.0652299922636873,0.442528735632184,0.661404796867352,0.258010471204189,0.182086905113804,0.442528735632184,0.551966766249768,0.578623003415082,0.227656375864604,0.67621722329413
"CDR3","Model 2","Sequence",5,"Yes",0.642095357590966,0.0810781588358277,0.452586206896552,0.674375917767988,0.269058295964126,0.191431175934366,0.452586206896552,0.56348106233227,0.598281435487591,0.29187615259054,0.663974509598199
"CDR3","Model 2","Combined",9,"No",0.646628185273828,0.113087970919224,0.4766201804758,0.681849082256968,0.316448801742919,0.236852833265389,0.4766201804758,0.579234631366384,0.623254815969002,0.350383647379129,0.656193473157084
"CDR3","Model 2","Structure",7,"No",0.636491623257778,0.0867989680100854,0.445447087776866,0.676070700203943,0.296074154852781,0.221723152307064,0.445447087776866,0.560758893990405,0.591957082205662,0.285011807214773,0.670990312153209
"CDR3","Model 2","Sequence",4,"No",0.65028861044629,0.110299753439423,0.463494667760459,0.688987083616587,0.312672938572219,0.235908141962422,0.463494667760459,0.576240875688523,0.620480646058972,0.346782551852576,0.657897350584957
"CDR3","Model 1","Combined",7,"Yes",0.600153295861012,0.128291032543805,0.439655172413793,0.688739095955591,0.438866977411259,0.438081603435934,0.439655172413793,0.564197134184692,0.591932374415489,0.497727349906984,0.669499525515606
"CDR3","Model 1","Structure",5,"Yes",0.573837506387328,0.100850483857995,0.477011494252874,0.627279936558287,0.443257676902537,0.413965087281795,0.477011494252874,0.55214571540558,0.576709724538999,0.464641722817463,0.678923754006556
"CDR3","Model 1","Combined",7,"No",0.615683926967974,0.165843693257322,0.459392945036916,0.705466540999057,0.465890183028286,0.472573839662447,0.459392945036916,0.582429743017987,0.614393606106271,0.540822636445651,0.659561223752685
"CDR3","Model 1","Structure",5,"No",0.592936246632745,0.133211650983277,0.473338802296965,0.661639962299717,0.459029435163087,0.445559845559846,0.473338802296965,0.567489382298341,0.59943333598792,0.498153806414843,0.671254462180031
"CDR3","Model 2","Combined",7,"Yes",0.635403596821414,0.0800047934020541,0.46264367816092,0.664831130690162,0.269738219895288,0.190363582618977,0.46264367816092,0.563737404425541,0.601336266674543,0.291446230955013,0.663267358657661
"CDR3","Model 2","Structure",5,"Yes",0.630071099958176,0.0642739907495469,0.439655172413793,0.662506118453255,0.257034859302814,0.18160237388724,0.439655172413793,0.551080645433524,0.579559320162484,0.227788044456124,0.676373405952635
"CDR3","Model 2","Combined",7,"No",0.648599183443615,0.116805119027716,0.479901558654635,0.683548606390211,0.319148936170213,0.239068246832857,0.479901558654635,0.581725082522423,0.62400015280381,0.351106118762584,0.656015307671426
"CDR3","Model 2","Structure",5,"No",0.639729691679572,0.09092147158217,0.447087776866284,0.679639700883753,0.298711975883804,0.224279835390947,0.447087776866284,0.563363738875018,0.593275433329857,0.285996900346765,0.670312793562823
"CDR3","Model 1","Combined",5,"Yes",0.567961165048544,0.0956302424096508,0.487068965517241,0.612609040444092,0.445027896291434,0.409667673716012,0.487068965517241,0.549839002980667,0.574626903935027,0.479294982541864,0.676841571153853
"CDR3","Model 1","Structure",4,"Yes",0.577925396014308,0.108365297952168,0.479885057471264,0.632038065027756,0.447121820615796,0.418546365914787,0.479885057471264,0.55596156124951,0.577936571959857,0.464809338073024,0.678761876885087
"CDR3","Model 1","Sequence",1,"Yes",0.537812979049566,0.0567001038366816,0.504310344827586,0.556304520222046,0.436974789915966,0.385502471169687,0.504310344827586,0.530307432524816,0.545498464090714,0.459806072489318,0.686991813680341
"CDR3","Model 1","Combined",5,"No",0.587249326548937,0.130537862857059,0.491386382280558,0.642318567389255,0.46488164532402,0.441089837997054,0.491386382280558,0.566852474834907,0.594242975074979,0.513937408689256,0.668608560284539
"CDR3","Model 1","Structure",4,"No",0.592936246632745,0.132912921463027,0.472518457752256,0.662111215834119,0.45859872611465,0.445475638051044,0.472518457752256,0.567314836793187,0.599379599940929,0.498084007472237,0.671237638187503
"CDR3","Model 1","Sequence",1,"No",0.547440885962287,0.0794667327540964,0.522559474979491,0.561734213006598,0.457286432160804,0.406509253350351,0.522559474979491,0.542146843993044,0.554628683915293,0.48094341777947,0.683721036684334
"CDR3","Model 2","Combined",5,"Yes",0.615955667084902,0.0752112094960005,0.487787356321839,0.637787567302986,0.269926455972968,0.186589722451223,0.487787356321839,0.562787461812412,0.591602739379209,0.259782071124429,0.668772592194787
"CDR3","Model 2","Structure",4,"Yes",0.630593893768298,0.065070511481752,0.440373563218391,0.662995594713656,0.25761714645934,0.182061182061182,0.440373563218391,0.551684578966024,0.580233932379136,0.227232611359447,0.676485795759815
"CDR3","Model 2","Sequence",1,"Yes",0.564721873693016,0.0556675837960962,0.533045977011494,0.570117474302496,0.262794404108376,0.174383078730905,0.533045977011494,0.551581725656995,0.572996092277527,0.250496634148378,0.678945975718944
"CDR3","Model 2","Combined",5,"No",0.613965929888779,0.0969176799768087,0.51025430680886,0.635452073419443,0.312092323130958,0.224792193711601,0.51025430680886,0.572853190114151,0.614374488678855,0.331126513628594,0.661837635468014
"CDR3","Model 2","Structure",4,"No",0.639870477263128,0.0897901657621747,0.444626743232158,0.68031951053705,0.297638660076881,0.223689640940982,0.444626743232158,0.562473126884604,0.593792958644262,0.286190062917796,0.6700366707735
"CDR3","Model 2","Sequence",1,"No",0.57609460791215,0.0805190643321819,0.548810500410172,0.581747110808973,0.30765693262819,0.213738019169329,0.548810500410172,0.565278805609573,0.594444884390533,0.303468571887591,0.673837025035709
"Full","Model 1","Combined",9,"Yes",0.58107745912624,0.105916809853086,0.46182917611489,0.646594684385382,0.438779174147217,0.417920656634747,0.46182917611489,0.554211930250136,0.573375344970029,0.456131949933805,0.67919965057056
"Full","Model 1","Structure",7,"Yes",0.577593138568748,0.107536569403245,0.479969765684051,0.631229235880399,0.446240337315531,0.416940249507551,0.479969765684051,0.555599500782225,0.567937437064158,0.431751417138509,0.683792567117798
"Full","Model 1","Sequence",2,"Yes",0.583489681050657,0.0859771748654262,0.402872260015117,0.682724252491694,0.406870229007634,0.41094834232845,0.402872260015117,0.542798256253406,0.557646092767118,0.449901445752629,0.681093522545893
"Full","Model 1","Combined",9,"No",0.6090625,0.158675569730815,0.472461273666093,0.686947988223749,0.467432950191571,0.462510530749789,0.472461273666093,0.579704630944921,0.608891897324332,0.499342397288269,0.669103450170474
"Full","Model 1","Structure",7,"No",0.59625,0.136349203696586,0.469018932874355,0.668792934249264,0.4575986565911,0.44672131147541,0.469018932874355,0.568905933561809,0.578086072032417,0.454883537821776,0.680028746687789
"Full","Model 1","Sequence",2,"No",0.601875,0.123686432444237,0.410499139414802,0.71099116781158,0.42818671454219,0.447467166979362,0.410499139414802,0.560745153613191,0.593409809151086,0.488887318111851,0.672779983405653
"Full","Model 2","Combined",9,"Yes",0.60905304690925,0.0650272896258053,0.478458049886621,0.631201128060505,0.261949099937927,0.18034188034188,0.478458049886621,0.554829588973563,0.58461214393604,0.232456287026632,0.673963143410039
"Full","Model 2","Structure",7,"Yes",0.615957913195967,0.0502560347613376,0.435374149659864,0.64658377131137,0.247422680412371,0.172817281728173,0.435374149659864,0.540978960485617,0.55474301558137,0.197052239929353,0.68322591687689
"Full","Model 2","Sequence",5,"Yes",0.623629986847874,0.0780998104932583,0.480725623582766,0.647865658248942,0.270293242668933,0.187998817617499,0.480725623582766,0.564295640915854,0.59051182751441,0.235344922946941,0.674001769150678
"Full","Model 2","Combined",9,"No",0.610089719076335,0.0846998102738143,0.493115318416523,0.634202590030158,0.301817224124309,0.217457305502846,0.493115318416523,0.563658954223341,0.598544562191593,0.286648349604147,0.669526336749554
"Full","Model 2","Structure",7,"No",0.608177673187233,0.0685696930639191,0.463855421686747,0.637927975873692,0.288081239978621,0.208914728682171,0.463855421686747,0.550891698780219,0.573474923032814,0.248113413510585,0.681430486284999
"Full","Model 2","Sequence",4,"No",0.62244447712899,0.0997912961902826,0.5,0.647684938797233,0.311611692142666,0.226334242306194,0.5,0.573842469398616,0.601371348695932,0.288094561154654,0.66976790196244
"Full","Model 1","Combined",7,"Yes",0.584829804341999,0.0983258868846032,0.427815570672714,0.67109634551495,0.422230511003357,0.416789396170839,0.427815570672714,0.549455958093832,0.569831162439136,0.452642967529969,0.679173172091088
"Full","Model 1","Structure",5,"Yes",0.577861163227017,0.0945337114221583,0.445956160241875,0.650332225913621,0.428312159709619,0.412011173184358,0.445956160241875,0.548144193077748,0.564890463383582,0.427028576788322,0.684316550532804
"Full","Model 1","Combined",7,"No",0.6103125,0.149465133271209,0.441480206540448,0.70657507360157,0.451385833699956,0.461746174617462,0.441480206540448,0.574027640071009,0.59903021591483,0.490073858297005,0.670948430323579
"Full","Model 1","Structure",5,"No",0.5896875,0.105117206302688,0.414802065404475,0.689401373895976,0.423364075537989,0.432286995515695,0.414802065404475,0.552101719650226,0.568639059251164,0.446325631679478,0.681666542511366
"Full","Model 2","Combined",7,"Yes",0.615738711091626,0.0770659689753888,0.492819349962207,0.636585053198308,0.271101871101871,0.186980212216805,0.492819349962207,0.564702201580258,0.587659120393019,0.233124872708432,0.673761312576865
"Full","Model 2","Structure",5,"Yes",0.616944322665498,0.0499530225720464,0.433106575963719,0.648122035636457,0.246929541047188,0.172694394213382,0.433106575963719,0.540614305800088,0.556076933757451,0.196622332606758,0.683431308602029
"Full","Model 2","Combined",7,"No",0.610972201794381,0.0834388056999471,0.48881239242685,0.636153982614866,0.30044961650357,0.216876670484918,0.48881239242685,0.562483187520858,0.599916124621652,0.28741337360378,0.669653828107472
"Full","Model 2","Structure",5,"No",0.609795558170319,0.0666162210797939,0.45697074010327,0.64129856306546,0.285868102288022,0.207990599294947,0.45697074010327,0.549134651584365,0.574459321357505,0.248861968488488,0.681060363046434
"Full","Model 1","Combined",5,"Yes",0.575716965960868,0.0941748375398166,0.453514739229025,0.642857142857143,0.431189363995688,0.410958904109589,0.453514739229025,0.548185941043084,0.561169558262582,0.436333834182908,0.683445859786515
"Full","Model 1","Structure",4,"Yes",0.580005360493165,0.0939828540248999,0.436130007558579,0.659053156146179,0.424108783535465,0.412732474964235,0.436130007558579,0.547591581852379,0.564143080635724,0.427722007030404,0.684391616004892
"Full","Model 1","Sequence",1,"Yes",0.522916108281962,0.0321784299243892,0.498110355253212,0.536544850498339,0.425435765009684,0.371267605633803,0.498110355253212,0.517327602875776,0.527858134763688,0.412591241186119,0.690797550390037
"Full","Model 1","Combined",5,"No",0.5840625,0.114653531699278,0.463855421686747,0.652600588812561,0.447488584474886,0.432237369687249,0.463855421686747,0.558228005249654,0.580516232883307,0.465740399408188,0.677900398861891
"Full","Model 1","Structure",4,"No",0.59,0.106298991350786,0.416523235800344,0.688910696761531,0.424561403508772,0.432915921288014,0.416523235800344,0.552716966280938,0.566436501649385,0.445354874015445,0.681969464558577
"Full","Model 1","Sequence",1,"No",0.5434375,0.0791550096945565,0.538726333907057,0.54612365063788,0.461481754515297,0.40361057382334,0.538726333907057,0.542424992272469,0.559477500637627,0.446483261777419,0.686336685891453
"Full","Model 2","Combined",5,"Yes",0.595024112231477,0.0608392825544634,0.493575207860922,0.612229201384438,0.261147770445911,0.177542142468733,0.493575207860922,0.55290220462268,0.57613095516661,0.220154843894569,0.676975862933043
"Full","Model 2","Structure",4,"Yes",0.617492327926348,0.0503958140399574,0.433106575963719,0.648762979105243,0.247195858498706,0.172955025656505,0.433106575963719,0.540934777534481,0.556153478782446,0.196678004449102,0.683421493348817
"Full","Model 2","Sequence",1,"Yes",0.56576063130206,0.0606147967179754,0.543461829176115,0.569542366363287,0.266296296296296,0.17635516311013,0.543461829176115,0.556502097769701,0.568545972990458,0.20323175713992,0.682638115311727
"Full","Model 2","Combined",5,"No",0.591557581997353,0.0772631371011384,0.512908777969019,0.607770090473656,0.300327538422776,0.212326327039544,0.512908777969019,0.560339434221337,0.583425468009039,0.271391986155229,0.674476129573435
"Full","Model 2","Structure",4,"No",0.610678040888366,0.0682956547840271,0.458691910499139,0.642008160368991,0.287099380554807,0.208937671501372,0.458691910499139,0.550350035434065,0.574476572754944,0.248888638167077,0.681051786730292
"Full","Model 2","Sequence",1,"No",0.549933813796146,0.0483705431205796,0.525817555938038,0.554905091360653,0.285380663241476,0.195833333333333,0.525817555938038,0.540361323649345,0.562881038332605,0.239183057021567,0.682030705971597
